Individual Size Rarity Good_Temper Cuteness Mischief_Rating
Abyssinian 2 4 2 1 8
American_Bobtail 4 6 4 2 7
American_Curl 2 7 5 2 7
Balinese (aka Javanese) 3 8 4 1 8
Bengal 4 1 3 1 7
Bombay 3 2 5 2 7
British_Shorthair 4 1 4 2 8
Devon_Rex 2 7 5 2 8
Egyptian_Mau 3 7 2 2 8
Japanese_Bobtail 3 8 5 2 9
LOL_Cats 3 1 3 2 9
Maine_Coon 5 2 4 2 8
Manx 4 9 3 2 7
Norwegian_Forest 5 3 5 2 8
Persian 4 2 5 2 7
Ocicat 3 7 4 1 7
Ragdoll 4 5 5 2 8
Ragamuffin 5 6 4 2 8
Russian_Blue 2 8 3 18 7
Savannah 3 9 3 1 8
Scottish_Fold 2 8 5 2 9
Selkirk_Rex 3 6 4 2 8
Siamese 2 3 5 1 6
Siberian 4 6 3 2 8
Singapura 1 7 4 1 8
Sphynx 3 9 4 3 7
Gumball 1 5 7 1 9
Tiger 6 10 0 9 9
Turkish_Van 4 8 2 2 8
Stray_Cat 3 1 5 1 9
Peach 4 3 9 7 6
Oscar 7 10 10 10 9
Boris 5 10 2 9 10
Garfield 9 3 1 7 9
Salem 4 9 5 7 10
Top_cat 8 10 5 5 10
Katra 10 9 3 8 8
Bagpuss 10 1 1 1 1
Whiskers 6 4 8 7 2
Hello_Kitty 3 3 9 10 1
